unaccepted_synonym,accepted_synonym
Stenella asthenops,Stenella coeruleoalba asthenops
Clymenia burmeisteri,Stenella coeruleoalba burmeisteri
Delphinus crotaphiscus,Stenella coeruleoalba crotaphiscus
Prodelphinus crotaphiscus,Stenella coeruleoalba crotaphiscus
Delphinus euphrosyne,Stenella coeruleoalba euphrosyne
Clymene euphrosyne,Stenella coeruleoalba euphrosyne
Delphinus lateralis,Stenella coeruleoalba lateralis
Delphinus marginatus,Stenella coeruleoalba marginata
Clymene similis,Stenella coeruleoalba similis
Delphinus styx,Stenella coeruleoalba styx
Delphinus tethyos,Stenella coeruleoalba tethyos
Delphinus frontalis,Stenella frontalis
Prodelphinus frontalis,Stenella frontalis
Delphinus doris,Stenella frontalis doris
Clymene doris,Stenella frontalis doris
Delphinus froenatus,Stenella frontalis froenatus
Prodelphinus frenatus,Stenella frontalis froenatus
Delphinus mediterraneus,Stenella frontalis mediterraneus
Delphinus pernettensis,Stenella frontalis pernettensis
Delphinus pernettyensis,Stenella frontalis pernettyensis
Delphinus pernettyi,Stenella frontalis pernettyi
Delphinorhynchus Pernettyi,Stenella frontalis pernettyi
Delphinus plagiodon,Stenella frontalis plagiodon
Prodelphinus plagiodon,Stenella frontalis plagiodon
Delphinus longirostris,Stenella longirostris
Clymenia longirostris,Stenella longirostris
Stenella alope,Stenella longirostris alope
Clymene alope,Stenella longirostris alope
Stenella microps,Stenella longirostris microps
Clymene microps,Stenella longirostris microps
Delphinus roseiventris,Stenella longirostris roseiventris
Prodelphinus roseiventris,Stenella longirostris roseiventris
Delphinus bredanensis,Steno bredanensis
Delphinus bredanensis,Steno bredanensis
Delphinus compressus,Steno bredanensis compressus
Delphinus frontatus,Steno bredanensis frontatus
Steno fuscus,Steno bredanensis fuscus
Steno perniger,Steno bredanensis perniger
Delphinus perspicillatus,Steno bredanensis perspicillatus
Delphinus reinwardtii,Steno bredanensis reinwardtii
Delphinus rostratus,Steno bredanensis rostratus
Delphinorhynchus santonicus,Steno bredanensis santonicus
Stenopontistes zambezicus,Steno bredanensis zambezicus
Capromys gracilis,Stenocapromys gracilis
Rattus rufidorsalis,Stenocephalemys albipes
Rattus albipes,Stenocephalemys albipes
Rattus albipes albipes,Stenocephalemys albipes albipes
Rattus rufidorsalis alettensis,Stenocephalemys albipes alettensis
Myomys albipes alettensis,Stenocephalemys albipes alettensis
Rattus rufidorsalis ankoberensis,Stenocephalemys albipes ankoberensis
Myomys albipes ankoberensis,Stenocephalemys albipes ankoberensis
Myomys fuscirostris,Stenocephalemys albipes fuscirostris
Myomys albipes fuscirostris,Stenocephalemys albipes fuscirostris
Praomys ruppi,Stenocephalemys ruppi
Artibaeus undatus,Stenoderma rufum
Artibeus anthonyi,Stenoderma rufum anthonyi
Stenomys niobe arfakiensis,Stenomys arfakiensis
Rattus arfakiensis,Stenomys arfakiensis
Stenomys niobe arrogans,Stenomys arrogans
Rattus niobe arrogans,Stenomys arrogans
Stenomys niobe haymani,Stenomys arrogans haymani
Rattus niobe haymani,Stenomys arrogans haymani
Stenomys niobe klossi,Stenomys arrogans klossi
Stenomys klossi,Stenomys arrogans klossi
Rattus niobe,Stenomys niobe
Rattus niobe niobe,Stenomys niobe niobe
Stenomys rufulus,Stenomys niobe rufulus
Rattus niobe rufulus,Stenomys niobe rufulus
Rattus niobe stevensi,Stenomys niobe stevensi
Stenomys richardsoni omlichodes,Stenomys omlichodes
Rattus omichlodes,Stenomys omlichodes
Stenomys niobe pococki,Stenomys pococki
Rattus niobe pococki,Stenomys pococki
Stenomys niobe clarae,Stenomys pococki clarae
Rattus richardsoni,Stenomys richardsoni
Rattus vandeuseni,Stenomys vandeuseni
Rattus verecundus,Stenomys verecundus
Rattus mollis,Stenomys verecundus mollis
Rattus verecundus tomba,Stenomys verecundus tomba
Rattus verecundus unicolor,Stenomys verecundus unicolor
Stenomys unicolor,Stenomys verecundus unicolor
Rattus verecundus verecundus,Stenomys verecundus verecundus
Dasymys longicaudatus,Stochomys longicaudatus
Mus hypoleucus,Stochomys longicaudatus hypoleucus
Epimys longicaudatus ituricus,Stochomys longicaudatus ituricus
Rattus longicaudatus longicaudatus,Stochomys longicaudatus longicaudatus
Epimys sebastianus,Stochomys longicaudatus sebastianus
Strigocuscus callenfelsi,Strigocuscus celebensis callenfelsi
Phalanger sangirensis,Strigocuscus celebensis sangirensis
Phalanger pelengensis,Strigocuscus pelengensis
Strigocuscus celebensis pelengensis,Strigocuscus pelengensis
Strigocuscus celebensis mendeni,Strigocuscus pelengensis mendeni
Phalanger pelengensis pelengensis,Strigocuscus pelengensis pelengensis
Corvira bidens,Sturnira bidens
Sturnira oporaphilum bogotensis,Sturnira bogotensis
Nyctiplanus rotundatus,Sturnira erythromos rotundatus
Sturnira spectrum,Sturnira lilium
Phyllostoma albescens,Sturnira lilium albescens
Sturnira angeli,Sturnira lilium angeli
Phyllostoma excisum,Sturnira lilium excisum
Phyllostoma fumarium,Sturnira lilium fumarium
Sturnira luciae,Sturnira lilium luciae
Sturnira paulsoni,Sturnira lilium paulsoni
Sturnira spectrum,Sturnira lilium spectrum
Sturnira zygomaticus,Sturnira lilium zygomaticus
Sturnira hondurensis,Sturnira ludovici hondurensis
Sturnirops mordax,Sturnira mordax
Corvira nana,Sturnira nana
Sturnira oporophilum,Sturnira oporaphilum
Pliyllostoma oporaphillum,Sturnira oporaphilum
Sturnira lilium vulcanensis,Sturnira thomasi vulcanensis
Pteropus wallacei,Styloctenium wallacei
Stylodipus telum andrewsi,Stylodipus andrewsi
Scirtopoda sungorus,Stylodipus sungorus
Scirtopoda telum,Stylodipus telum
Scirtopoda telum amankaragai,Stylodipus telum amankaragai
Scirtopoda telum birulae,Stylodipus telum birulae
Dipus telum falzfeini,Stylodipus telum falzfeini
Scirtopoda telum karelini,Stylodipus telum karelini
Scirtopoda telum turovi nigriculus,Stylodipus telum nigriculus
Dipus proximus,Stylodipus telum proximus
Scirtopoda telum telum,Stylodipus telum telum
Scirtopoda telum turovi,Stylodipus telum turovi
Suncus lixus aequatoria,Suncus aequatorius
Crocidura dayi,Suncus dayi
Sorex etruscus,Suncus etruscus
Pachyura assamensis,Suncus etruscus assamensis
Sorex atratus,Suncus etruscus atratus
Sorex hodgsoni,Suncus etruscus hodgsoni
Podihik kura,Suncus etruscus kura
Crocidura (Pachyura) macrotis,Suncus etruscus macrotis
Sorex melanodon,Suncus etruscus melanodon
Sorex micronyx,Suncus etruscus micronyx
Crocidura nanula,Suncus etruscus nanula
Crocidura (Pachyura) nilagirica,Suncus etruscus nilgirica
Crocidura (Pachyura) nitidofulva,Suncus etruscus nitidofulva
Sorex nudipes,Suncus etruscus nudipes
Sorex pachyurus,Suncus etruscus pachyurus
Sorex perrotteti,Suncus etruscus perrotteti
Crocidura (Pachyura) pygmaeoides,Suncus etruscus pygmaeoides
Crocidura (Pachyura) travancorensis,Suncus etruscus travancorensis
Suncus etruscus fellowes-gordoni,Suncus fellowesgordoni
Suncus etruscus hosei,Suncus hosei
Pachyura infinitesima,Suncus infinitesimus
Suncus chriseos,Suncus infinitesimus chriseos
Sylvisorex infinitesimus infinitesimus,Suncus infinitesimus infinitesimus
Sylvisorex lixus,Suncus lixus
Suncus gracilis,Suncus lixus gracilis
Suncus gratulus,Suncus lixus gratula
Sylvisorex lixus lixus,Suncus lixus lixus
Suncus etruscus madagascariensis,Suncus madagascariensis
Suncus coquerelii,Suncus madagascariensis coquerelii
Suncus etruscus malayanus,Suncus malayanus
Suncus murinus montanus,Suncus montanus
Sorex montanus,Suncus montanus
Sorex ferrugineus,Suncus montanus ferrugineus
Sorex kelaarti,Suncus montanus kelaarti
Suncus niger malabaricus,Suncus montanus malabaricus
Sorex montana,Suncus montanus montana
Suncus niger,Suncus montanus niger
Suncus murinus niger,Suncus montanus niger
Sorex murinus,Suncus murinus
Suncus albicauda,Suncus murinus albicauda
Crocidura albicauda,Suncus murinus albicauda.
Suncus andersoni,Suncus murinus andersoni
Suncus auriculata,Suncus murinus auriculata
Suncus beddomei,Suncus murinus beddomei
Suncus blanfordii,Suncus murinus blanfordii
Suncus blythii,Suncus murinus blythii
Suncus murinus coeruleus,Suncus murinus caerulaeus
Sorex caerulescens,Suncus murinus caerulescens
Suncus caeruleus,Suncus murinus caeruleus
Suncus celebensis,Suncus murinus celebensis
Suncus ceylanica,Suncus murinus ceylanica
Suncus indicus cinereo-senea,Suncus murinus cinereo-senea
Sorex crassicaudus,Suncus murinus crassicaudus
Suncus duvernoyi,Suncus murinus duvernoyi
Crocidura edwardsiana,Suncus murinus edwardsiana
Suncus fulvocinerea,Suncus murinus fulvocinerea
Suncus fuscipes,Suncus murinus fuscipes
Suncus geoffroyi,Suncus murinus geoffroyi
Suncus giganteus,Suncus murinus giganteus
Suncus griffithii,Suncus murinus griffithii
Suncus heterodon,Suncus murinus heterodon
Sorex indicus,Suncus murinus indicus
Suncus kandianus,Suncus murinus kandianus
Suncus kroonii,Suncus murinus kroonii
Crocidura kukenthali,Suncus murinus kuekenthali
Suncus leucura,Suncus murinus leucura
Suncus luzoniensis,Suncus murinus luzoniensis
Suncus mauritiana,Suncus murinus mauritiana
Suncus media,Suncus murinus media
Suncus microtis,Suncus murinus microtis
Pachyura müelleri,Suncus murinus mulleri
Suncus muschata,Suncus murinus muschata
Suncus nemorivagus,Suncus murinus nemorivagus
Pachyura occultidens,Suncus murinus occultidens
Suncus palawanensis,Suncus murinus palawanensis
Suncus pealana,Suncus murinus pealana
Pachyura caerulea riukiuana,Suncus murinus riukiuanus
Suncus rubicunda,Suncus murinus rubicunda
Suncus sacer,Suncus murinus sacer
Suncus saturatior,Suncus murinus saturatior
Pachyura semmelinki,Suncus murinus semmelincki
Suncus semmeliki,Suncus murinus semmelincki
Suncus serpentarius,Suncus murinus serpentarius
Suncus sindensis,Suncus murinus sindensis
Suncus soccatus,Suncus murinus soccatus
Suncus sonneratii,Suncus murinus sonneratii
Crocidura sumatranus,Suncus murinus sumatranus
Suncus swinhoei,Suncus murinus swinhoei
Pachyura temminckii,Suncus murinus temminckii
Suncus tristrami,Suncus murinus tristrami
Sorex tytleri,Suncus murinus tytleri
Pachyura unicolor,Suncus murinus unicolor
Suncus viridescens,Suncus murinus viridescens
Suncus waldemarii,Suncus murinus waldemarii
Sylvisorex remyi,Suncus remyi
Crocidura bidiana,Suncus stoliczkanus bidiana
Crocidura leucogenys,Suncus stoliczkanus leucogenys
Crocidura subfulva,Suncus stoliczkanus subfulva
Pachyura varilla,Suncus varilla
Suncus orangiae natalensis,Suncus varilla natalensis
Suncus orangiae,Suncus varilla orangiae
Suncus tulbaghensis,Suncus varilla tulbaghensis
Sylvisorex varilla varilla,Suncus varilla varilla
Suncus warreni,Suncus varilla warreni
Suncus murinus zeylanicus,Suncus zeylanicus
Rattus infraluteus,Sundamys infraluteus
Rattus atchinus,Sundamys infraluteus atchinus
Rattus infraluteus infraluteus,Sundamys infraluteus infraluteus
Rattus maxi,Sundamys maxi
Rattus muelleri,Sundamys muelleri
Rattus mülleri balabagensis,Sundamys muelleri balabagensis
Rattus balmasus,Sundamys muelleri balmasus
Epimys borneanus,Sundamys muelleri borneanus
Epimys mülleri campus,Sundamys muelleri campus
Mus chombolis,Sundamys muelleri chombolis
Epimys crassus,Sundamys muelleri crassus
Rattus mülleri credulus,Sundamys muelleri credulus
Rattus culionensis,Sundamys muelleri culionensis
Mus domitor,Sundamys muelleri domitor
Mus firmus,Sundamys muelleri firmus
Mus mülleri foederis,Sundamys muelleri foederis
Mus integer,Sundamys muelleri integer
Rattus mulleri mulleri,Sundamys muelleri muelleri
Rattus mülleri otiosus,Sundamys muelleri otiosus
Rattus pinatus,Sundamys muelleri pinatus
Epimys pollens,Sundamys muelleri pollens
Epimys potens,Sundamys muelleri potens
Epimys sebucus,Sundamys muelleri sebucus
Rattus validus terempa,Sundamys muelleri terempa
Epimys valens,Sundamys muelleri valens
Rattus validus,Sundamys muelleri validus
Mus validus,Sundamys muelleri validus
Rattus victor,Sundamys muelleri victor
Rattus virtus,Sundamys muelleri virtus
Rattus mülleri waringensis,Sundamys muelleri waringensis
Callosciurus brookei,Sundasciurus brookei
Callosciurus davensis,Sundasciurus davensis
Sciurus cagsi,Sundasciurus davensis cagsi
Sundasciurus lowii fraterculus,Sundasciurus fraterculus
Sundasciurus lowii pumilus,Sundasciurus fraterculus pumilus
Sundasciurus lowii siberu,Sundasciurus fraterculus siberu
Callosciurus hippurus,Sundasciurus hippurus
Callosciurus hippurus grayi,Sundasciurus hippurus grayi
Sundasciurus hippurellus,Sundasciurus hippurus hippurellus
Sundasciurus hippurosus,Sundasciurus hippurus hippurosus
Callosciurus hippurus hippurosus,Sundasciurus hippurus hippurosus
Callosciurus hippurus hippurus,Sundasciurus hippurus hippurus
Callosciurus pryeri inquinatus,Sundasciurus hippurus inquinatus
Sundasciurus pryeri,Sundasciurus hippurus pryeri
Callosciurus pryeri pryeri,Sundasciurus hippurus pryeri
Sundasciurus rufogaster,Sundasciurus hippurus rufogaster
Callosciurus juvencus,Sundasciurus juvencus
Callosciurus lowii,Sundasciurus lowii
Sciurus robinsoni alacris,Sundasciurus lowii alacris
Sundasciurus balae,Sundasciurus lowii balae
Callosciurus lowii bangueyae,Sundasciurus lowii bangueyae
Sundasciurus humilis,Sundasciurus lowii humilis
Sundasciurus lingungensis,Sundasciurus lowii lingungensis
Callosciurus lowii lowii,Sundasciurus lowii lowii
Callosciurus lowii natunensis,Sundasciurus lowii natunensis
Sundasciurus piniensis,Sundasciurus lowii piniensis
Callosciurus lowii robinsoni,Sundasciurus lowii robinsoni
Sundasciurus seimundi,Sundasciurus lowii seimundi
Sundasciurus vanakeni,Sundasciurus lowii vanakeni
Callosciurus mindanensis,Sundasciurus mindanensis
Callosciurus moellendorffi,Sundasciurus moellendorffi
Callosciurus albicauda,Sundasciurus moellendorffi albicauda
Callosciurus moellendorffi moellendorfi,Sundasciurus moellendorffi moellendorffi
Callosciurus philippinensis,Sundasciurus philippinensis
Callosciurus samarensis,Sundasciurus samarensis
Callosciurus steerii,Sundasciurus steerii
Callosciurus tenuis,Sundasciurus tenuis
Callosciurus affinis,Sundasciurus tenuis affinis
Sundasciurus altitudinus,Sundasciurus tenuis altitudinus
Sundasciurus bancarus,Sundasciurus tenuis bancarus
Callosciurus tenuis batus,Sundasciurus tenuis batus
Callosciurus tenuis gunong,Sundasciurus tenuis gunong
Sundasciurus mansalaris,Sundasciurus tenuis mansalaris
Sundasciurus modestus,Sundasciurus tenuis modestus
Sundasciurus parvus,Sundasciurus tenuis parvus
Sundasciurus procerus,Sundasciurus tenuis procerus
Callosciurus tenuis sianticus,Sundasciurus tenuis sianticus
Callosciurus tenuis sordidus,Sundasciurus tenuis sordidus
Callosciurus tenuis surdus,Sundasciurus tenuis surdus
Sundasciurus tahan,Sundasciurus tenuis tahan
Callosciurus tenuis tenuis,Sundasciurus tenuis tenuis
Callosciurus tenuis tiomanicus,Sundasciurus tenuis tiomanicus
Myosorex norae,Surdisorex norae
Myosorex polulus,Surdisorex polulus
Suricata capensis,Suricata suricatta capensis
Suricata suricatta siricata,Suricata suricatta suricatta
Viverra tetradactyla,Suricata suricatta tetradactyla
Rhyzsena typicus,Suricata suricatta typicus
Surikata viverrina,Suricata suricatta viverrina
Mus zenik,Suricata suricatta zenik
Sus barbatus ahoenobarbus,Sus ahoenobarbus
Sus barbatus balabacensis,Sus ahoenobarbus balabacensis
Sus calamianensis,Sus ahoenobarbus calamianensis
Sus palawensis,Sus ahoenobarbus palawensis
Sus barbatus palawensis,Sus ahoenobarbus palawensis
Sus celebensis amboinensis,Sus barbartus amboinensis
Sus branti,Sus barbatus branti
Sus gargantua,Sus barbatus gargantua
Sus longirostris,Sus barbatus longirostris
Sus oï,Sus barbatus oi
Sus verrucosus sumatranus,Sus barbatus sumatranus
Sus verrucosus cebifrons,Sus cebifrons
Neosus cebifrons,Sus cebifrons
Sus celebensis negrinus,Sus cebifrons negrinus
Sus verrucosus celebensis,Sus celebensis
Sus nehringii,Sus celebensis
Sus macassaricus,Sus celebensis macassaricus
Sus maritimus,Sus celebensis maritimus
Sus mimus,Sus celebensis mimus
Sus nehringii,Sus celebensis nehringii
Sus niadensis,Sus celebensis niadensis
Sus vittatus niadensis,Sus celebensis niadensis
Sus weberi,Sus celebensis weberi
Sus celebensis floresianus,Sus heureni
Sus philippensis oliveri,Sus oliveri
Sus barbatus philippensis,Sus philippensis
Sus celebensis,Sus philippensis
Sus effrenus,Sus philippensis effrenus
Sus frenatus,Sus philippensis frenatus
Sus inconstans,Sus philippensis inconstans
Sus mainitensis,Sus philippensis mainitensis
Sus marchei,Sus philippensis marchei
Sus microtis,Sus philippensis microtis
Sus celebensis mindanensis,Sus philippensis mindanensis
Sus minutus,Sus philippensis minutus
Porcula salvania,Sus salvanius
Porculia salvania,Sus salvanius
Sus affinis,Sus scrofa affinis
Sus aper,Sus scrofa aipomus
Sus scrofa barbarus,Sus scrofa algira
Sus andamanensis,Sus scrofa andamanensis
Sus cristatus andamanensis,Sus scrofa andamanensis
Sus andersoni,Sus scrofa andersoni
